"Tarih","Toplam Test Sayısı","Toplam Vaka Sayısı","Toplam Vefat Sayısı","Hastalarda Zatürre Oranı (%)","Ağır Hasta Sayısı","Toplam İyileşen Hasta Sayısı","Bugünkü Vaka Sayısı","Bugünkü Hasta Sayısı","Bugünkü Test Sayısı","Bugünkü Vefat Sayısı","Bugünkü İyileşen Sayısı"
"   19 KASIM 2020  "," 16.781.245 "," 430.170 "," 11.943 "," 3,8 "," 3.850 "," 364.573 ","  "," 4.542 "," 157.756 "," 123 "," 2.918 "
"   18 KASIM 2020  "," 16.623.489 "," 425.628 "," 11.820 "," 3,8 "," 3.742 "," 361.655 ","  "," 4.215 "," 158.811 "," 116 "," 2.592 "
"   17 KASIM 2020  "," 16.464.678 "," 421.413 "," 11.704 "," 3,8 "," 3.657 "," 359.063 ","  "," 3.819 "," 156.692 "," 103 "," 2.688 "
"   16 KASIM 2020  "," 16.307.986 "," 417.594 "," 11.601 "," 3,8 "," 3.610 "," 356.375 ","  "," 3.316 "," 151.516 "," 94 "," 2.712 "
"   15 KASIM 2020  "," 16.156.470 "," 414.278 "," 11.507 "," 4,2 "," 3.439 "," 353.663 ","  "," 3.223 "," 142.496 "," 89 "," 2.561 "
"   14 KASIM 2020  "," 16.013.974 "," 411.055 "," 11.418 "," 4,2 "," 3.423 "," 351.102 ","  "," 3.116 "," 150.141 "," 92 "," 2.298 "
"   13 KASIM 2020  "," 15.863.833 "," 407.939 "," 11.326 "," 4,2 "," 3.356 "," 348.804 ","  "," 3.045 "," 149.942 "," 93 "," 2.010 "
"   12 KASIM 2020  "," 15.713.891 "," 404.894 "," 11.233 "," 4,2 "," 3.230 "," 346.794 ","  "," 2.841 "," 148.482 "," 88 "," 2.181 "
"   11 KASIM 2020  "," 15.565.409 "," 402.053 "," 11.145 "," 4,2 "," 3.095 "," 344.613 ","  "," 2.693 "," 145.989 "," 86 "," 2.112 "
"   10 KASIM 2020  "," 15.419.420 "," 399.360 "," 11.059 "," 4,2 "," 3.001 "," 342.501 ","  "," 2.529 "," 146.198 "," 87 "," 2.215 "
"   9 KASIM 2020  "," 15.273.222 "," 396.831 "," 10.972 "," 4.2 "," 2.867 "," 340.286 ","  "," 2.576 "," 145.411 "," 85 "," 2.047 "
"   8 KASIM 2020  "," 15.127.811 "," 394.255 "," 10.887 "," 4.7 "," 2.740 "," 338.239 ","  "," 2.516 "," 141.944 "," 84 "," 2.018 "
"   7 KASIM 2020  "," 14.985.867 "," 391.739 "," 10.803 "," 4.7 "," 2.730 "," 336.221 ","  "," 2.483 "," 139.675 "," 81 "," 1.928 "
"   6 KASIM 2020  "," 14.846.192 "," 389.256 "," 10.722 "," 4.7 "," 2.654 "," 334.293 ","  "," 2.436 "," 145.241 "," 83 "," 1.914 "
"   5 KASIM 2020  "," 14.700.951 "," 386.820 "," 10.639 "," 4.7 "," 2.564 "," 332.379 ","  "," 2.311 "," 146.028 "," 81 "," 1.714 "
"   4 KASIM 2020  "," 14.554.923 "," 384.509 "," 10.558 "," 4.7 "," 2.464 "," 330.665 ","  "," 2.391 "," 144.416 "," 77 "," 1.841 "
"   3 KASIM 2020  "," 14.410.507 "," 382.118 "," 10.481 "," 4.7 "," 2.386 "," 328.824 ","  "," 2.343 "," 146.247 "," 79 "," 1.817 "
"   2 KASIM 2020  "," 14.264.260 "," 379.775 "," 10.402 "," 4.7 "," 2.341 "," 327.007 ","  "," 2.302 "," 139.103 "," 76 "," 1.521 "
"   1 KASIM 2020  "," 14.125.157 "," 377.473 "," 10.326 "," 5.0 "," 2.177 "," 325.486 ","  "," 2.106 "," 123.343 "," 74 "," 1.515 "
"   31 EKİM 2020  "," 14.001.814 "," 375.367 "," 10.252 "," 5.0 "," 2.075 "," 323.971 ","  "," 2.213 "," 124.109 "," 75 "," 1.506 "
"   30 EKİM 2020  "," 13.877.705 "," 373.154 "," 10.177 "," 5.0 "," 1.966 "," 322.465 ","  "," 2.322 "," 136.525 "," 78 "," 1.703 "
"   29 EKİM 2020  "," 13.741.180 "," 370.832 "," 10.099 "," 5.0 "," 1.916 "," 320.762 ","  "," 2.319 "," 134.416 "," 72 "," 1.581 "
"   28 EKİM 2020  "," 13.606.764 "," 368.513 "," 10.027 "," 5.0 "," 1.836 "," 319.181 ","  "," 2.305 "," 128.312 "," 77 "," 1.662 "
"   27 EKİM 2020  "," 13.478.452 "," 366.208 "," 9.950 "," 5.0 "," 1.827 "," 317.519 ","  "," 2.209 "," 127.651 "," 76 "," 1.511 "
"   26 EKİM 2020  "," 13.350.801 "," 363.999 "," 9.874 "," 5.0 "," 1.780 "," 316.008 ","  "," 2.198 "," 132.913 "," 75 "," 1.618 "
"   25 EKİM 2020  "," 13.217.888 "," 361.801 "," 9.799 "," 5.6 "," 1.744 "," 314.390 ","  "," 2.017 "," 112.215 "," 72 "," 1.297 "
"   24 EKİM 2020  "," 13.105.673 "," 359.784 "," 9.727 "," 5.6 "," 1.699 "," 313.093 ","  "," 2.091 "," 113.427 "," 69 "," 1.573 "
"   23 EKİM 2020  "," 12.992.246 "," 357.693 "," 9.658 "," 5.6 "," 1.648 "," 311.520 ","  "," 2.165 "," 115.979 "," 74 "," 1.493 "
"   22 EKİM 2020  "," 12.876.267 "," 355.528 "," 9.584 "," 5.6 "," 1.599 "," 310.027 ","  "," 2.102 "," 117.198 "," 71 "," 1.581 "
"   21 EKİM 2020  "," 12.759.069 "," 353.426 "," 9.513 "," 5.6 "," 1.504 "," 308.446 ","  "," 2.013 "," 117.943 "," 68 "," 1.507 "
"   20 EKİM 2020  "," 12.641.126 "," 351.413 "," 9.445 "," 5.6 "," 1.545 "," 306.939 ","  "," 1.894 "," 116.565 "," 74 "," 1.512 "
"   19 EKİM 2020  "," 12.524.561 "," 349.519 "," 9.371 "," 5.6 "," 1.447 "," 305.427 ","  "," 2026 "," 116.249 "," 75 "," 1.424 "
"   18 EKİM 2020  "," 12.408.312 "," 347.493 "," 9.296 "," 5.9 "," 1.427 "," 304.003 ","  "," 1.815 "," 101.403 "," 72 "," 1.504 "
"   17 EKİM 2020  "," 12.306.909 "," 345.678 "," 9.224 "," 5.9 "," 1.428 "," 302.499 ","  "," 1.723 "," 112.131 "," 71 "," 1.401 "
"   16 EKİM 2020  "," 12.194.778 "," 343.955 "," 9.153 "," 5.9 "," 1.445 "," 301.098 ","  "," 1.812 "," 117.005 "," 73 "," 1.419 "
"   15 EKİM 2020  "," 12.077.773 "," 342.143 "," 9.080 "," 5.9 "," 1.408 "," 299.679 ","  "," 1.693 "," 116.103 "," 66 "," 1.311 "
"   14 EKİM 2020  "," 11.961.670 "," 340.450 "," 9.014 "," 5.9 "," 1.418 "," 298.368 ","  "," 1.671 "," 115.328 "," 57 "," 1.396 "
"   13 EKİM 2020  "," 11.846.342 "," 338.779 "," 8.957 "," 5.9 "," 1.416 "," 296.972 ","  "," 1.632 "," 114.992 "," 62 "," 1.314 "
"   12 EKİM 2020  "," 11.731.350 "," 337.147 "," 8.895 "," 5.9 "," 1.417 "," 295.658 ","  "," 1.614 "," 115.605 "," 58 "," 1.301 "
"   11 EKİM 2020  "," 11.615.745 "," 335.533 "," 8.837 "," 6.2 "," 1.411 "," 294.357 ","  "," 1.502 "," 109.301 "," 59 "," 1.212 "
"   10 EKİM 2020  "," 11.506.444 "," 334.031 "," 8.778 "," 6.2 "," 1.414 "," 293.145 ","  "," 1.649 "," 113.102 "," 56 "," 1.391 "
